Day,Port sim,Port data,Port error,National sim,National data,National error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,12,13,0.0769,0,0,0.0,0,0,0,0,0,0
1,12,100,0.88,0,230,1.0,1.382608695652174,330,243,230,12,0
2,12,121,0.9008,0,160,1.0,1.68125,281,243,160,12,70
3,12,321,0.9626,0,211,1.0,2.4644549763033177,532,243,211,12,19
4,11,202,0.9455,0,114,1.0,2.675438596491228,316,243,114,11,116
5,11,202,0.9455,0,114,1.0,2.675438596491228,316,243,114,11,116
6,10,202,0.9505,0,114,1.0,2.6842105263157894,316,243,114,10,116
7,10,202,0.9505,0,114,1.0,2.6842105263157894,316,243,114,10,116
8,10,202,0.9505,0,114,1.0,2.6842105263157894,316,243,114,10,116
9,10,202,0.9505,0,114,1.0,2.6842105263157894,316,243,114,10,116
10,10,202,0.9505,0,114,1.0,2.6842105263157894,316,243,114,10,116
11,9,202,0.9554,1,114,0.9912,2.6842105263157894,316,243,114,10,116
12,9,202,0.9554,2,114,0.9825,2.675438596491228,316,243,114,11,116
13,9,202,0.9554,3,114,0.9737,2.6666666666666665,316,243,114,12,116
14,9,202,0.9554,3,114,0.9737,2.6666666666666665,316,243,114,12,116
15,9,202,0.9554,4,114,0.9649,2.6578947368421053,316,243,114,13,116
16,9,202,0.9554,4,114,0.9649,2.6578947368421053,316,243,114,13,116
17,9,202,0.9554,5,114,0.9561,2.6491228070175437,316,243,114,14,116
18,9,202,0.9554,6,114,0.9474,2.6403508771929824,316,243,114,15,116
19,9,202,0.9554,6,114,0.9474,2.6403508771929824,316,243,114,15,116
20,10,202,0.9505,7,114,0.9386,2.6228070175438596,316,243,114,17,116
21,10,202,0.9505,7,114,0.9386,2.6228070175438596,316,243,114,17,116
22,11,202,0.9455,9,114,0.9211,2.5964912280701755,316,243,114,20,116
23,11,202,0.9455,11,114,0.9035,2.5789473684210527,316,243,114,22,116
24,11,202,0.9455,12,114,0.8947,2.5701754385964914,316,243,114,23,116
25,13,202,0.9356,12,114,0.8947,2.5526315789473686,316,243,114,25,116
26,13,202,0.9356,14,114,0.8772,2.5350877192982457,316,243,114,27,116
27,13,202,0.9356,14,114,0.8772,2.5350877192982457,316,243,114,27,116
28,13,202,0.9356,15,114,0.8684,2.526315789473684,316,243,114,28,116
29,14,202,0.9307,14,114,0.8772,2.526315789473684,316,243,114,28,116
30,16,202,0.9208,14,114,0.8772,2.508771929824561,316,243,114,30,116
31,17,202,0.9158,14,114,0.8772,2.5,316,243,114,31,116
32,17,202,0.9158,16,114,0.8596,2.482456140350877,316,243,114,33,116
33,17,202,0.9158,18,114,0.8421,2.4649122807017543,316,243,114,35,116
34,18,202,0.9109,18,114,0.8421,2.456140350877193,316,243,114,36,116
35,19,202,0.9059,19,114,0.8333,2.43859649122807,316,243,114,38,116
36,19,202,0.9059,19,114,0.8333,2.43859649122807,316,243,114,38,116
37,19,202,0.9059,19,114,0.8333,2.43859649122807,316,243,114,38,116
38,19,202,0.9059,19,114,0.8333,2.43859649122807,316,243,114,38,116
39,18,202,0.9109,18,114,0.8421,2.456140350877193,316,243,114,36,116
40,18,202,0.9109,18,114,0.8421,2.456140350877193,316,243,114,36,116
41,18,202,0.9109,18,114,0.8421,2.456140350877193,316,243,114,36,116
42,18,202,0.9109,16,114,0.8596,2.473684210526316,316,243,114,34,116
43,18,202,0.9109,16,114,0.8596,2.473684210526316,316,243,114,34,116
44,18,202,0.9109,17,114,0.8509,2.4649122807017543,316,243,114,35,116
45,18,202,0.9109,18,114,0.8421,2.456140350877193,316,243,114,36,116
46,19,202,0.9059,18,114,0.8421,2.4473684210526314,316,243,114,37,116
47,19,202,0.9059,18,114,0.8421,2.4473684210526314,316,243,114,37,116
48,19,202,0.9059,18,114,0.8421,2.4473684210526314,316,243,114,37,116
49,19,202,0.9059,19,114,0.8333,2.43859649122807,316,243,114,38,116
